Task,Model,Fold,C-index,IBS,AUC_mean,AUC_t=673.2,AUC_t=1517.5,AUC_t=2406.0,AUC_t=446.8,AUC_t=1330.0,AUC_t=2215.0,AUC_t=501.5,AUC_t=1345.0,AUC_t=2068.5,AUC_t=563.0,AUC_t=1399.0,AUC_t=2304.0,AUC_t=515.5,AUC_t=1339.5,AUC_t=2156.0,AUC_t=563.5,AUC_t=1321.0,AUC_t=2208.8,AUC_t=521.8,AUC_t=1448.0,AUC_t=2178.2,AUC_t=476.5,AUC_t=1325.0,AUC_t=2277.0,AUC_t=568.5,AUC_t=1352.0,AUC_t=2330.5,AUC_t=576.2,AUC_t=1418.5,AUC_t=2218.2,AUC_t=508.0,AUC_t=1276.0,AUC_t=2221.0,AUC_t=495.0,AUC_t=1273.0,AUC_t=2152.0,AUC_t=440.5,AUC_t=1344.5,AUC_t=2069.8,AUC_t=451.8,AUC_t=1220.0,AUC_t=2000.5,AUC_t=473.0,AUC_t=1367.0,AUC_t=2166.0,AUC_t=457.5,AUC_t=1400.0,AUC_t=2357.0,AUC_t=361.0,AUC_t=1227.0,AUC_t=2029.5,AUC_t=370.0,AUC_t=1130.0,AUC_t=2030.8,AUC_t=453.2,AUC_t=1346.5,AUC_t=2161.5,AUC_t=454.0,AUC_t=1366.5,AUC_t=2276.0
Myocardial Infarction,Multivariate Cox,2,0.7764189156214923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,DeepSurv,2,4.0069988913969734e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,DeepHit,2,0.6889500327238243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,TorchSurv (Custom),2,0.7793275096383778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,RSF,2,0.7714346135701853,0.10660403954169512,0.793766965461156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7736735095877736,0.7853049678253161,0.8180197070438415,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,GBSA,2,0.7743204333609878,0.10462479001909537,0.799553333982618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7799064891643273,0.7952220979660479,0.8198568197260343,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,Embedding Cox,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,Kaplan-Meier,3,0.5,0.1233530527678205,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,Multivariate Cox,3,0.7479805299037543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,DeepSurv,3,1.3096547750013096e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,DeepHit,3,0.6196697050657447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,TorchSurv (Custom),3,0.7306160114896963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,RSF,3,0.7611241446090059,0.10319461338232987,0.794758208566838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7861238171033632,0.7957843082502045,0.8009966721750337,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,GBSA,3,0.7607082280002859,0.10089811284682508,0.7903109325664943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7697610397625757,0.8009023206777457,0.7982346291474529,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,Embedding Cox,3,0.6397349831358813,0.14866694342863407,0.664223082691232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6730059386419357,0.6706514371640274,0.6515288189561642,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,Kaplan-Meier,4,0.5,0.12475425246371968,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,
Myocardial Infarction,Multivariate Cox,4,0.7692337969036999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,DeepSurv,4,3.770976054302055e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,DeepHit,4,0.7123750864182012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,TorchSurv (Custom),4,0.7563500393597481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
